timestamp,symbol,type,price
2025-02-01 16:55:38.938945,XRPUSDT,SELL,2.9814
2025-02-01 16:55:45.895323,DOTUSDT,SELL,6.267
2025-02-01 16:55:49.440946,LINKUSDT,SELL,24.555
2025-02-01 16:55:52.419410,LTCUSDT,SELL,122.48
2025-02-01 16:55:53.266531,LTCUSDT,SELL,122.45
2025-02-01 16:55:54.683596,BCHUSDT,SELL,418.93
2025-02-01 16:55:55.399889,BCHUSDT,SELL,418.94
2025-02-01 16:55:56.154452,BCHUSDT,SELL,418.94
2025-02-01 16:55:57.636750,AVAXUSDT,SELL,33.633
2025-02-01 16:55:58.430315,AVAXUSDT,SELL,33.631
2025-02-01 16:56:00.666143,FILUSDT,SELL,4.667
2025-02-01 16:56:01.417519,FILUSDT,SELL,4.668
2025-02-01 16:56:04.318373,XLMUSDT,SELL,0.40565
2025-02-01 16:56:09.691226,NEARUSDT,SELL,4.447
2025-02-01 16:56:10.533731,NEARUSDT,SELL,4.446
2025-02-01 16:56:11.270159,NEARUSDT,SELL,4.446
2025-02-01 16:56:12.737059,ATOMUSDT,SELL,6.122
2025-02-01 16:56:13.468036,ATOMUSDT,SELL,6.122
2025-02-01 16:56:14.190107,ATOMUSDT,SELL,6.121
2025-02-01 16:56:15.659970,SANDUSDT,SELL,0.51238
2025-02-01 16:56:16.373645,SANDUSDT,SELL,0.51238
2025-02-01 16:56:17.121924,SANDUSDT,SELL,0.51229
2025-02-01 16:56:28.616479,BTCUSDT,SELL,101852.0
2025-02-01 16:56:30.043105,BTCUSDT,SELL,101857.9
2025-02-01 16:56:30.899108,BTCUSDT,SELL,101857.9
2025-02-01 16:56:31.630513,ETHUSDT,SELL,3242.35
2025-02-01 16:56:34.778867,BNBUSDT,SELL,669.12
2025-02-01 16:56:35.551432,BNBUSDT,SELL,669.11
2025-02-01 16:56:36.266290,BNBUSDT,SELL,669.08
2025-02-01 16:56:37.764598,ADAUSDT,SELL,0.9238
2025-02-01 16:56:42.183143,XRPUSDT,SELL,2.9771
2025-02-01 16:56:42.907861,XRPUSDT,SELL,2.9769
2025-02-01 16:56:43.697031,SOLUSDT,SELL,227.07
2025-02-01 16:56:49.850305,DOTUSDT,SELL,6.259
2025-02-01 16:56:53.568847,LINKUSDT,SELL,24.509
2025-02-01 16:56:55.858788,LTCUSDT,SELL,122.04
2025-02-01 16:56:56.636519,LTCUSDT,SELL,122.05
2025-02-01 16:56:57.354176,LTCUSDT,SELL,122.09
2025-02-01 16:56:58.904957,BCHUSDT,SELL,418.55
2025-02-01 16:56:59.637268,BCHUSDT,SELL,418.55
2025-02-01 16:57:00.475186,BCHUSDT,SELL,418.52
2025-02-01 16:57:02.077520,AVAXUSDT,SELL,33.606
2025-02-01 16:57:02.906266,AVAXUSDT,SELL,33.606
2025-02-01 16:57:03.672871,AVAXUSDT,SELL,33.606
2025-02-01 16:57:05.221759,FILUSDT,SELL,4.657
2025-02-01 16:57:05.943484,FILUSDT,SELL,4.657
2025-02-01 16:57:06.693501,FILUSDT,SELL,4.657
2025-02-01 16:57:08.148457,XLMUSDT,SELL,0.405
2025-02-01 16:57:08.924194,XLMUSDT,SELL,0.405
2025-02-01 16:57:11.389419,TRXUSDT,SELL,0.25345
2025-02-01 16:57:14.562476,NEARUSDT,SELL,4.445
2025-02-01 16:57:15.327933,NEARUSDT,SELL,4.445
2025-02-01 16:57:16.074787,NEARUSDT,SELL,4.445
2025-02-01 16:57:17.597077,ATOMUSDT,SELL,6.124
2025-02-01 16:57:18.392762,ATOMUSDT,SELL,6.125
2025-02-01 16:57:19.124063,ATOMUSDT,SELL,6.125
2025-02-01 16:57:20.566913,SANDUSDT,SELL,0.51249
2025-02-01 16:57:21.275611,SANDUSDT,SELL,0.51249
2025-02-01 16:57:21.991914,SANDUSDT,SELL,0.51249
2025-02-01 16:57:33.616949,BTCUSDT,SELL,101903.0
2025-02-01 16:57:35.382544,BTCUSDT,SELL,101903.0
2025-02-01 16:57:36.159854,BTCUSDT,SELL,101903.0
2025-02-01 16:57:36.939761,ETHUSDT,SELL,3242.6
2025-02-01 16:57:40.406516,BNBUSDT,SELL,669.16
2025-02-01 16:57:41.187247,BNBUSDT,SELL,669.16
2025-02-01 16:57:41.959907,BNBUSDT,SELL,669.16
2025-02-01 16:57:43.796205,ADAUSDT,SELL,0.9238
2025-02-01 16:57:48.867817,XRPUSDT,SELL,2.9749
2025-02-01 16:57:49.640268,XRPUSDT,SELL,2.9749
2025-02-01 16:57:50.419294,SOLUSDT,SELL,227.05
2025-02-01 16:57:56.501642,DOTUSDT,SELL,6.262
2025-02-01 16:58:00.327664,LINKUSDT,SELL,24.525
2025-02-01 16:58:02.721749,LTCUSDT,SELL,122.06
2025-02-01 16:58:03.437685,LTCUSDT,SELL,122.05
2025-02-01 16:58:04.159902,LTCUSDT,SELL,122.05
2025-02-01 16:58:05.754319,BCHUSDT,SELL,418.58
2025-02-01 16:58:06.574571,BCHUSDT,SELL,418.58
2025-02-01 16:58:07.452093,BCHUSDT,SELL,418.58
2025-02-01 16:58:09.809326,AVAXUSDT,SELL,33.628
2025-02-01 16:58:11.969359,FILUSDT,SELL,4.657
2025-02-01 16:58:12.793742,FILUSDT,SELL,4.657
2025-02-01 16:58:13.531044,FILUSDT,SELL,4.657
2025-02-01 16:58:16.210082,XLMUSDT,SELL,0.40516
2025-02-01 16:58:23.477017,NEARUSDT,SELL,4.445
2025-02-01 16:58:24.551902,NEARUSDT,SELL,4.445
2025-02-01 16:58:25.650448,NEARUSDT,SELL,4.445
2025-02-01 16:58:27.771759,ATOMUSDT,SELL,6.121
2025-02-01 16:58:28.846104,ATOMUSDT,SELL,6.121
2025-02-01 16:58:29.886392,ATOMUSDT,SELL,6.121
2025-02-01 16:58:32.127583,SANDUSDT,SELL,0.51215
2025-02-01 16:58:33.184525,SANDUSDT,SELL,0.51215
2025-02-01 16:58:34.146163,SANDUSDT,SELL,0.51215
2025-02-01 16:58:46.398856,BTCUSDT,SELL,101818.1
2025-02-01 16:58:48.554944,BTCUSDT,SELL,101818.2
2025-02-01 16:58:49.581337,BTCUSDT,SELL,101818.1
2025-02-01 16:58:50.768564,ETHUSDT,SELL,3243.06
2025-02-01 16:58:55.214,BNBUSDT,SELL,669.01
2025-02-01 16:58:56.415686,BNBUSDT,SELL,669.0
2025-02-01 16:58:57.578958,BNBUSDT,SELL,669.0
2025-02-01 16:59:00.162473,ADAUSDT,SELL,0.9227
2025-02-01 16:59:02.323272,ADAUSDT,SELL,0.9228
2025-02-01 16:59:04.528850,XRPUSDT,SELL,2.9737
2025-02-01 16:59:06.668513,XRPUSDT,SELL,2.9738
2025-02-01 16:59:07.689988,XRPUSDT,SELL,2.9739
2025-02-01 16:59:08.715230,SOLUSDT,SELL,226.85
2025-02-01 16:59:10.956038,SOLUSDT,SELL,226.85
2025-02-01 16:59:17.271098,DOTUSDT,SELL,6.259
2025-02-01 16:59:21.740879,LINKUSDT,SELL,24.516
2025-02-01 16:59:24.670884,LTCUSDT,SELL,122.14
2025-02-01 16:59:25.586188,LTCUSDT,SELL,122.13
2025-02-01 16:59:26.442096,LTCUSDT,SELL,122.13
2025-02-01 16:59:28.145892,BCHUSDT,SELL,418.63
2025-02-01 16:59:28.882529,BCHUSDT,SELL,418.65
2025-02-01 16:59:29.714616,BCHUSDT,SELL,418.65
2025-02-01 16:59:32.010405,AVAXUSDT,SELL,33.639
2025-02-01 16:59:34.884067,FILUSDT,SELL,4.655
2025-02-01 16:59:35.737366,FILUSDT,SELL,4.655
2025-02-01 16:59:36.816607,FILUSDT,SELL,4.655
2025-02-01 16:59:39.356258,XLMUSDT,SELL,0.40503
2025-02-01 16:59:45.706465,NEARUSDT,SELL,4.446
2025-02-01 16:59:46.461022,NEARUSDT,SELL,4.446
2025-02-01 16:59:47.979014,ATOMUSDT,SELL,6.121
2025-02-01 16:59:48.753967,ATOMUSDT,SELL,6.12
2025-02-01 16:59:49.505433,ATOMUSDT,SELL,6.12
